No,Nama Obat,Mechanism of Action,Effects
44,Penicillin G,Prevents bacterial cell wall synthesis by binding to and inhibiting cell wall transpeptidases,
45,Cefazolin,Prevents bacterial cell wall synthesis by binding to and inhibiting cell wall transpeptidases,
46,Imipenem-cilastatin,Prevents bacterial cell wall synthesis by binding to and inhibiting cell wall transpeptidases,
47,Aztreonam,Prevents bacterial cell wall synthesis by binding to and inhibiting cell wall transpeptidases,
48,Vancomycin,Inhibits cell wall synthesis by binding to the D-Ala-D-Ala terminus of nascent peptidoglycan,
49,Daptomycin,"Binds to cell membrane, causing depolarization and rapid cell death",
50,Tetracycline,Prevents bacterial protein synthesis by binding to the 30S ribosomal subunit,
51,Erythromycin,Prevents bacterial protein synthesis by binding to the 50S ribosomal subunit,
52,Clindamycin,Prevents bacterial protein synthesis by binding to the 50S ribosomal subunit,
53,Quinupristin-dalfopristin,Prevents bacterial protein synthesis by binding to the 50S ribosomal subunit,
54,CHLORAMPHENICOL,Prevents bacterial protein synthesis by binding to the 50S ribosomal subunit,
55,Linezolid,Prevents bacterial protein synthesis by binding to the 23S ribosomal RNA of 50S subunit,
56,Gentamicin,Prevents bacterial protein synthesis by binding to the 30S ribosomal subunit,
57,Ethanol,"Multiple effects on neurotransmitter receptors, ion channels, and signaling pathways",
58,Benzodiazepines,BDZ receptor agonists that facilitate GABA-mediated activation of GABAA receptors,
59,Thiamine (vitamin B1),Essential vitamin required for synthesis of the coenzyme thiamine pyrophosphate,
60,Naltrexone,Nonselective competitive antagonist of opioid receptors,
61,Acamprosate,Poorly understood NMDA receptor antagonist and GABAA agonist effects,
62,Disulfiram,"Inhibits aldehyde dehydrogenase, resulting in aldehyde accumulation during ethanol ingestion",
63,Fomepizole,"Inhibits alcohol dehydrogenase, prevents conversion of methanol and ethylene glycol to toxic metabolites",
64,Lidocaine,Blockade of sodium channels,
65,Bupivacaine,Same as lidocaine,
66,Chloroprocaine,Like lidocaine,
67,Cocaine,Same as above • also has sympathomimetic effects,
68,Succinylcholine,"Agonist at nicotinic acetylcholine (ACh) receptors, especially at neuromuscular junctions • depolarizes • may stimulate ganglionic nicotinic ACh and cardiac muscarinic ACh receptors",
69,d-Tubocurarine,"Competitive antagonist at nACh receptors, especially at neuromuscular junctions",
70,Baclofen,"GABAB agonist, facilitates spinal inhibition of motor neurons",
71,Tizanidine,α2-Adrenoceptor agonist in the spinal cord,
72,Diazepam,Facilitates GABAergic transmission in central nervous system,
73,Cyclobenzaprine,Poorly understood inhibition of muscle stretch reflex in spinal cord,
74,Dantrolene,Blocks RyR1 Ca2+ -release channels in the sarcoplasmic reticulum of skeletal muscle,
75,Atorvastatin,Inhibit HMG-CoA reductase,
76,Fenofibrate,Peroxisome proliferator-activated receptor-alpha (PPAR-α) agonists,
77,Colestipol,Binds bile acids in gut • prevents reabsorption • increases cholesterol catabolism • up-regulates LDL receptors,
78,Ezetimibe,Blocks sterol transporter NPC1L1 in intestine brush border,
79,NIACIN,Decreases catabolism of apo AI • reduces VLDL secretion from liver,
80,Somatropin,Recombinant form of human GH • acts through GH receptors to increase production of IGF-,
81,Mecasermin,Recombinant form of IGF-I that stimulates IGF-I receptors,
82,Octreotide,Agonist at somatostatin receptors,
83,Pegvisomant,Blocks GH receptors,
84,Follitropin alfa,Activates FSH receptors,
85,Human chorionic gonadotropin (hCG),Agonist at LH receptors,
86,Leuprolide,Agonist of GnRH receptors,
87,Ganirelix,Blocks GnRH receptors,
88,Bromocriptine,Activates dopamine D2 receptors,
89,OXYTOCIN,Activates oxytocin receptors,
90,Atosiban,Blocks oxytocin receptors,
91,Desmopressin,Relatively selective vasopressin V2 receptor agonist,
92,Conivaptan,Conivaptan,
93,Cholecalciferol,Regulate gene transcription via the vitamin D receptor,
94,Alendronate,Suppress the activity of osteoclasts in part via inhibition of farnesyl pyrophosphate synthesis,
95,Teriparatide,These hormones act via their cognate G proteincoupled receptors,
96,Raloxifene,Interacts selectively with estrogen receptors,
97,Denosumab,Monoclonal antibody • binds to RANKL and prevents it from stimulating osteoclast differentiation and function,
98,Cinacalcet,Activates the calciumsensing receptor,
99,Calcium,Multiple physiologic actions through regulation of multiple enzymatic pathways,
100,Succinylcholine,"Agonist at nicotinic acetylcholine (ACh) receptors, especially at neuromuscular junctions • depolarizes • may stimulate ganglionic nicotinic ACh and cardiac muscarinic ACh receptors",
101,d-Tubocurarine,"Competitive antagonist at nACh receptors, especially at neuromuscular junctions",
102,Ramelteon,Activates MT1 and MT2 receptors in suprachiasmatic nuclei in the CNS,
103,Buspirone,Mechanism uncertain: Partial agonist at 5-HT receptors but also affinity for D2 receptors,
